State,District,Village,PIN_Code,Survey_Number,Land_Area,Land_Type,Guidance_Value_Per_Sqft,Total_Guidance_Value,Market_Value_Per_Sqft,Total_Market_Value,Nearby_Avg_Value_Per_Sqft,Total_Nearby_Avg_Value,Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Total_Income,Credit_History,Property_Area,Loan_Amount,Loan_Amount_Term,LTV_Ratio,DTI_Ratio,Risk_Score,Loan_Approved
Telangana,Rangareddy,Kokapet,500089,105/5,21457,Industrial,3701,79412357,12244,262719508,11726,251604782,Male,No,1,Not Graduate,Yes,21061,9439,30500,1.0,Semiurban,80467124,120,0.30628530257448566,33.420443259531865,32,0
Telangana,Rangareddy,Gandi Maisamma,500043,428/6,8041,Commercial,3997,32139877,11245,90421045,12011,96580451,Female,Yes,1,Graduate,No,87499,19235,106734,0.0,Semiurban,63604874,180,0.7034299813721463,6.044212555326371,88,0
Telangana,Hyderabad,Madhapur,500081,452/7,2269,Residential,5354,12148226,19802,44930738,21209,48123221,Male,No,1,Graduate,No,37817,9368,47185,0.0,Urban,37327616,300,0.8307812793994169,6.638804622307456,93,0
Telangana,Hyderabad,Gachibowli,500032,338/4,26512,Industrial,5134,136112608,17369,460486928,17432,462157184,Female,Yes,0,Not Graduate,Yes,26196,23542,49738,0.0,Urban,316709700,240,0.6877713149763939,57.29059020457613,87,0
Maharashtra,Pune,Wakad,411057,262/2,42787,Industrial,3192,136576104,7849,335835163,7910,338445170,Male,No,3,Graduate,No,18204,27595,45799,1.0,Semiurban,297224343,360,0.885030442747295,52.21804595828584,55,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,357/5,4143,Commercial,2928,12130704,8212,34022316,8671,35923953,Female,No,0,Not Graduate,No,25326,0,25326,1.0,Semiurban,17333077,300,0.5094619954737943,5.743447519941052,40,1
Telangana,Rangareddy,Puppalguda,500090,407/3,3124,Residential,3013,9412612,9377,29293748,9650,30146600,Female,Yes,1,Graduate,Yes,30484,0,30484,0.0,Semiurban,23420880,300,0.7995180405047521,6.447551938435897,91,0
Telangana,Rangareddy,Puppalguda,500090,254/7,3417,Commercial,4710,16094070,11940,40798980,12305,42046185,Female,Yes,1,Not Graduate,Yes,25310,66927,92237,0.0,Semiurban,15775758,300,0.386670402054169,1.43531974665083,75,0
Maharashtra,Pune,Wakad,411057,418/9,40905,Industrial,3462,141613110,8862,362500110,9105,372440025,Female,No,1,Not Graduate,No,36022,0,36022,1.0,Semiurban,184081622,360,0.5078112169400445,41.11827117458221,40,1
Telangana,Hyderabad,Banjara Hills,500034,356/3,2052,Commercial,7308,14996016,27018,55440936,26073,53501796,Female,Yes,3,Not Graduate,Yes,19252,36081,55333,1.0,Urban,48764017,300,0.8795669863870985,7.395692578141,55,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,140/7,6902,Industrial,2339,16143778,6397,44152094,6739,46512578,Male,Yes,3,Graduate,Yes,17456,24967,42423,1.0,Semiurban,14688739,300,0.3326849911127658,2.9056729498576903,33,1
Tamil Nadu,Coimbatore,R S Puram,641002,390/7,65255,Agricultural,740,48288700,1592,103885960,1573,102646115,Female,Yes,0,Graduate,Yes,12000,9927,21927,1.0,Rural,32541966,180,0.31324700662149146,15.052779083654313,42,1
Tamil Nadu,Madurai,Anna Nagar,625020,289/4,21793,Industrial,1544,33648392,2703,58906479,2754,60017922,Male,No,0,Graduate,No,40868,34306,75174,0.0,Semiurban,53720110,180,0.9119558817969752,7.248052846794787,96,0
Telangana,Hyderabad,Jubilee Hills,500033,436/10,7322,Residential,5725,41918450,24269,177697618,23742,173838924,Female,Yes,3,Not Graduate,Yes,40248,20549,60797,1.0,Semiurban,106410766,180,0.598830570705793,17.75233714638199,43,1
Maharashtra,Nagpur,Sitabuldi,440012,397/8,33545,Industrial,1811,60749995,3874,129953330,3785,126967825,Female,No,1,Not Graduate,No,30313,0,30313,1.0,Semiurban,80169178,240,0.6169074543915112,23.795167190899104,44,0
Maharashtra,Pune,Wakad,411057,360/5,5032,Residential,3630,18266160,9058,45579856,9257,46581224,Female,No,3,Graduate,Yes,14956,0,14956,1.0,Semiurban,33345038,240,0.7315740093606263,20.059772791796103,49,1
Maharashtra,Pune,Wakad,411057,170/6,22754,Industrial,3315,75429510,8694,197823276,8731,198665174,Male,Yes,1,Not Graduate,No,23578,16707,40285,0.0,Semiurban,95736407,120,0.48394915368806246,30.10421604268025,79,0
Maharashtra,Mumbai Suburban,Borivali,400092,92/5,6600,Residential,8081,53334600,34215,225819000,35704,235646400,Male,No,0,Graduate,No,68478,27069,95547,1.0,Urban,75286895,300,0.3333948649139355,6.612503638351611,33,1
Karnataka,Mysuru,Hebbal,570016,38/10,2042,Residential,1610,3287620,3840,7841280,3930,8025060,Female,Yes,3,Not Graduate,No,12609,0,12609,1.0,Semiurban,5250592,120,0.6696090434214822,5.274984568537287,46,0
Karnataka,Bengaluru Urban,Electronic City,560100,136/2,4929,Commercial,4736,23343744,13379,65945091,12910,63633390,Female,Yes,1,Not Graduate,No,44110,17482,61592,1.0,Urban,59386335,360,0.9005421646927442,7.758083562550245,56,0
Telangana,Medchal-Malkajgiri,Kompally,500014,279/4,5352,Commercial,3623,19390296,8177,43763304,7905,42307560,Female,No,0,Not Graduate,No,24193,31793,55986,0.0,Semiurban,27175562,120,0.620966872153894,6.148832464272961,84,0
Tamil Nadu,Madurai,Othakadai,625107,310/5,1548,Residential,1194,1848312,2453,3797244,2493,3859164,Female,Yes,1,Not Graduate,No,67413,38513,105926,1.0,Semiurban,2705954,300,0.7126099876647379,0.21437859986813004,34,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,171/6,7826,Residential,1796,14055496,4315,33769190,4369,34191794,Male,No,0,Not Graduate,No,21948,0,21948,0.0,Semiurban,21426131,120,0.63448756099865,12.366373805810063,85,0
Tamil Nadu,Coimbatore,Peelamedu,641004,97/9,91609,Agricultural,861,78875349,2208,202272672,2183,199982447,Female,No,3,Graduate,Yes,30166,26869,57035,1.0,Rural,92143970,180,0.4555433469529685,16.386175103533905,48,1
Karnataka,Dharwad,Lakamanahalli,580008,48/4,4580,Residential,1360,6228800,2772,12695760,2808,12860640,Female,No,3,Not Graduate,Yes,65207,16522,81729,1.0,Semiurban,8754938,180,0.6895954239840703,1.0864981903373558,47,0
Maharashtra,Pune,Baner,411045,479/9,10336,Agricultural,1196,12361856,3208,33157888,3385,34987360,Male,No,3,Not Graduate,No,32487,11341,43828,1.0,Rural,19761239,240,0.5959739956899547,4.0566988336357275,53,0
Telangana,Rangareddy,Puppalguda,500090,120/7,3406,Residential,3220,10967320,10235,34860410,10386,35374716,Male,No,0,Graduate,No,17716,35864,53580,0.0,Semiurban,22375788,300,0.6418681822732435,3.5046061819828527,85,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,39/8,54375,Agricultural,912,49590000,2296,124845000,2205,119896875,Female,No,3,Graduate,Yes,81940,0,81940,1.0,Rural,60774090,180,0.48679634747086387,7.522715239179968,49,0
Tamil Nadu,Chennai,Adyar,600020,228/3,13794,Agricultural,1554,21435876,6171,85122774,5935,81867390,Female,Yes,1,Graduate,Yes,34779,40220,74999,1.0,Rural,63334534,300,0.7440374769741409,7.08677590705306,59,0
Telangana,Hyderabad,Banjara Hills,500034,327/5,21733,Industrial,5775,125508075,25286,549540638,24729,537435357,Male,No,2,Not Graduate,No,45115,14956,60071,1.0,Urban,521839842,300,0.9495928161003445,72.90141629175149,57,1
Tamil Nadu,Madurai,Othakadai,625107,295/5,12875,Agricultural,594,7647750,1214,15630250,1211,15591625,Male,No,2,Graduate,No,45109,0,45109,1.0,Rural,7235358,180,0.462907375121959,1.6268553600939093,48,0
Karnataka,Mysuru,Hebbal,570016,18/10,27224,Agricultural,631,17178344,1383,37650792,1343,36561832,Female,No,1,Not Graduate,No,91383,21558,112941,1.0,Rural,32596475,120,0.865758016458193,3.6560537733468297,64,0
Karnataka,Bengaluru Urban,Electronic City,560100,441/7,21836,Agricultural,1522,33234392,4206,91842216,4220,92147920,Female,No,2,Graduate,Yes,92854,8000,100854,1.0,Rural,83857448,240,0.9130599374910553,7.480984646811823,66,0
Telangana,Rangareddy,Gandi Maisamma,500043,326/8,95097,Agricultural,1166,110883102,3099,294705603,3129,297558513,Male,Yes,1,Not Graduate,No,59464,0,59464,0.0,Rural,221829208,360,0.7527145929424355,30.016278396298304,98,0
Telangana,Medchal-Malkajgiri,Kompally,500014,427/8,23333,Industrial,2080,48532640,5192,121144936,5467,127561511,Male,No,2,Graduate,No,38262,0,38262,0.0,Rural,101243755,120,0.8357242022893966,33.519238414107015,93,0
Karnataka,Bengaluru Urban,Kengeri,560060,125/3,2124,Commercial,5769,12253356,19061,40485564,19597,41624028,Male,Yes,2,Graduate,Yes,30351,23273,53624,1.0,Urban,34946779,180,0.8631911117750515,6.609978771405837,54,1
Telangana,Rangareddy,Kokapet,500089,9/3,16868,Agricultural,1065,17964420,3106,52392008,2884,48647312,Female,Yes,3,Graduate,Yes,12000,19306,31306,0.0,Rural,38156418,240,0.7282869936956797,10.966051126579137,98,0
Karnataka,Bengaluru Urban,Yelahanka,560064,434/7,49964,Industrial,3397,169727708,11761,587626604,12116,605363824,Male,Yes,1,Not Graduate,No,44993,0,44993,1.0,Urban,369386900,300,0.6286081969154684,68.89697136317803,45,1
Karnataka,Dharwad,Kelageri,580007,370/4,34593,Industrial,1473,50955489,2796,96722028,2850,98590050,Female,No,2,Not Graduate,No,88144,16139,104283,1.0,Semiurban,34751848,120,0.35929610574335763,4.221414070031585,34,1
Karnataka,Dharwad,Vidyagiri,580004,416/3,5604,Residential,1364,7643856,2710,15186840,2750,15411000,Female,Yes,2,Not Graduate,No,22357,0,22357,1.0,Semiurban,9315958,120,0.6134230689201967,5.278463961510134,44,1
Maharashtra,Mumbai Suburban,Borivali,400092,294/4,41763,Industrial,10052,419801676,50217,2097212571,50520,2109866760,Female,Yes,1,Not Graduate,No,26874,38148,65022,1.0,Urban,824442508,300,0.3931134685154431,106.40539428802387,35,1
Karnataka,Bengaluru Urban,Sarjapur,560035,111/7,34730,Industrial,3666,127320180,11438,397241740,11948,414954040,Male,Yes,1,Graduate,Yes,44234,16028,60262,1.0,Urban,244573837,300,0.6156801070300417,34.058855439683455,44,1
Telangana,Rangareddy,Gandi Maisamma,500043,177/7,3120,Residential,3160,9859200,9719,30323280,9459,29512080,Male,Yes,1,Not Graduate,Yes,49412,23347,72759,1.0,Semiurban,11461891,300,0.37798981508596696,1.3220051467968112,35,0
Telangana,Hyderabad,Banjara Hills,500034,273/4,19447,Agricultural,1938,37688286,8121,157929087,7939,154389733,Female,No,3,Not Graduate,No,64937,0,64937,1.0,Rural,80717448,360,0.5110993138331763,10.001552927123875,50,1
Maharashtra,Mumbai Suburban,Kurla,400070,433/2,8138,Commercial,12319,100252022,56464,459504032,54697,445124186,Female,Yes,0,Graduate,Yes,23831,18095,41926,1.0,Urban,382452829,180,0.8323165899880505,92.52233088604679,53,1
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,89/10,13455,Commercial,3556,47845980,8037,108137835,8371,112631805,Female,No,2,Graduate,No,28702,0,28702,1.0,Semiurban,51748050,120,0.4785378771454043,22.838911134473435,39,1
Karnataka,Mysuru,Hebbal,570016,232/1,3820,Residential,1979,7559780,4027,15383140,4283,16361060,Female,No,0,Not Graduate,Yes,15091,0,15091,1.0,Semiurban,5233619,120,0.34021786189295555,4.393166366304444,33,0
Maharashtra,Nagpur,Dharampeth,440010,259/3,2829,Residential,1593,4506597,3814,10789806,3844,10874676,Female,No,3,Not Graduate,Yes,43376,25761,69137,1.0,Semiurban,3899747,300,0.3614288338455761,0.47335775366242133,28,1
Telangana,Medchal-Malkajgiri,Kompally,500014,299/3,50662,Agricultural,1003,50813986,2767,140181754,2813,142512206,Female,No,2,Graduate,Yes,36427,19134,55561,1.0,Rural,75023629,240,0.5351882599500075,12.14893654062626,51,1
Telangana,Medchal-Malkajgiri,Alwal,500010,99/4,3538,Commercial,2881,10192978,8284,29308792,8380,29648440,Male,No,1,Not Graduate,Yes,15533,0,15533,0.0,Rural,24205498,180,0.8258783917126301,15.8055931078316,93,0
Karnataka,Mysuru,J P Nagar,570008,347/4,45015,Industrial,1852,83367780,4665,209994975,4635,208644525,Female,Yes,2,Not Graduate,No,28215,17932,46147,1.0,Semiurban,120144327,180,0.5721295330995421,26.406565140248777,42,0
Telangana,Medchal-Malkajgiri,Kompally,500014,329/8,82684,Agricultural,994,82187896,2752,227546368,2613,216053292,Male,No,3,Graduate,No,22440,0,22440,0.0,Rural,189058519,240,0.8308571156802643,75.80252081947086,98,0
Tamil Nadu,Chennai,Tambaram,600045,258/6,7326,Commercial,7751,56783826,27127,198732402,27749,203289174,Female,Yes,1,Graduate,No,32965,28069,61034,1.0,Urban,157643832,300,0.7932467499688349,21.67548097189466,51,1
Karnataka,Bengaluru Urban,Whitefield,560066,132/4,9991,Commercial,5943,59376513,19961,199430351,20235,202167885,Male,Yes,1,Not Graduate,No,112612,0,112612,0.0,Urban,129317611,360,0.6484349566230267,9.239856727512809,85,0
Telangana,Medchal-Malkajgiri,Alwal,500010,1/10,41531,Agricultural,898,37294838,2110,87630410,2128,88377968,Male,No,3,Graduate,No,40325,25707,66032,1.0,Rural,27214276,120,0.3105574423308073,5.220786087583031,42,1
Karnataka,Dharwad,Vidyagiri,580004,69/1,81567,Agricultural,456,37194552,928,75694176,980,79935660,Female,Yes,1,Graduate,No,34729,0,34729,1.0,Rural,61631786,120,0.814220977846433,22.480503841630203,62,0
Maharashtra,Nagpur,Wardha Road,440015,418/9,21601,Industrial,1420,30673420,3087,66682287,3107,67114307,Female,No,0,Not Graduate,No,12000,21678,33678,1.0,Rural,36763218,180,0.5513190931798725,11.071828357876033,42,1
Tamil Nadu,Coimbatore,Singanallur,641005,137/2,10172,Industrial,2154,21910488,6130,62354360,5791,58906052,Female,No,2,Not Graduate,No,37651,0,37651,1.0,Semiurban,48164338,240,0.7724293537773461,11.50957611881243,50,0
Tamil Nadu,Coimbatore,Peelamedu,641004,39/7,77251,Agricultural,872,67362872,2272,175514272,2267,175128017,Female,Yes,1,Graduate,Yes,159204,19625,178829,1.0,Rural,96331949,360,0.5488553603207835,4.334356558487226,51,1
Telangana,Rangareddy,Puppalguda,500090,486/6,68188,Agricultural,1294,88235272,3957,269819916,3943,268865284,Male,Yes,0,Graduate,No,43517,21572,65089,0.0,Rural,101599245,240,0.37654464691183137,14.04407470099105,85,0
Telangana,Rangareddy,Kokapet,500089,356/8,3009,Commercial,4008,12060072,10413,31332717,10580,31835220,Female,No,0,Not Graduate,No,18011,43725,61736,1.0,Rural,22387383,240,0.714505001273908,3.2626845873815693,48,0
Karnataka,Bengaluru Urban,Electronic City,560100,122/8,3756,Residential,3556,13356336,11090,41654040,11412,42863472,Male,Yes,2,Not Graduate,No,57020,35405,92425,1.0,Urban,14493021,240,0.34793794311428133,1.4108463264681192,33,0
Tamil Nadu,Coimbatore,Singanallur,641005,177/3,13579,Commercial,3419,46426601,8269,112284751,8024,108957896,Male,No,1,Graduate,No,21043,51106,72149,1.0,Rural,71557226,240,0.6372835613270408,8.923463050192888,45,0
Maharashtra,Mumbai Suburban,Ghatkopar,400086,141/3,90534,Agricultural,3232,292605888,14717,1332388878,14871,1346331114,Female,Yes,0,Graduate,Yes,15660,31323,46983,1.0,Rural,628922645,180,0.47202633959542856,135.77149667882904,48,0
Tamil Nadu,Madurai,Anna Nagar,625020,255/9,94136,Agricultural,591,55634376,1146,107879856,1182,111268752,Male,Yes,1,Not Graduate,No,135167,12157,147324,1.0,Rural,74904130,240,0.6943291618780062,4.574488200250837,57,0
Maharashtra,Nagpur,Somalwada,440025,500/7,13462,Commercial,2162,29104844,4582,61682884,4475,60242450,Male,Yes,0,Graduate,No,25854,23383,49237,0.0,Semiurban,57102671,180,0.925745803325279,11.762969121125169,97,0
Maharashtra,Mumbai Suburban,Bandra,400050,256/9,37686,Industrial,9800,369322800,44553,1679024358,42796,1612810056,Male,Yes,2,Graduate,Yes,26847,0,26847,1.0,Urban,1237673316,240,0.7371383923663125,414.7825854912467,49,0
Karnataka,Mysuru,Vijayanagar,570017,452/5,62855,Agricultural,691,43432805,1567,98493785,1529,96105295,Male,No,3,Not Graduate,Yes,14322,0,14322,1.0,Rural,53440651,240,0.5425789150046371,33.572085464481475,51,0
Maharashtra,Mumbai Suburban,Bandra,400050,309/9,37773,Industrial,7586,286545978,29619,1118798487,30959,1169414307,Male,Yes,2,Not Graduate,Yes,37840,0,37840,1.0,Urban,767407406,360,0.6859210259192995,163.1800621772004,47,0
Tamil Nadu,Madurai,Tallakulam,625002,154/8,3817,Residential,1234,4710178,2117,8080589,2092,7985164,Male,No,2,Graduate,Yes,19199,29265,48464,1.0,Semiurban,5679266,300,0.7028282220516351,0.9834143643353813,48,1
Telangana,Hyderabad,Kondapur,500084,486/2,1310,Commercial,7367,9650770,28013,36697030,27022,35398820,Female,Yes,1,Graduate,No,20917,55824,76741,1.0,Urban,33828994,300,0.9218455553487571,3.6993482949433645,56,0
Maharashtra,Nagpur,Somalwada,440025,347/5,17600,Industrial,1876,33017600,3636,63993600,3805,66968000,Female,Yes,3,Not Graduate,No,22698,0,22698,0.0,Rural,30572775,120,0.47774738411341133,17.062428094181268,79,0
Tamil Nadu,Coimbatore,R S Puram,641002,489/3,15513,Agricultural,749,11619237,1971,30576123,1922,29815986,Female,Yes,1,Not Graduate,No,29934,0,29934,1.0,Rural,20835787,180,0.6814397953592743,7.059879237259452,57,1
Telangana,Rangareddy,Narsingi,500075,27/2,26646,Industrial,3515,93660690,9218,245622828,8943,238295178,Male,No,3,Not Graduate,Yes,59166,10524,69690,1.0,Semiurban,83132441,120,0.3384556788833976,15.111014905182824,33,0
Telangana,Rangareddy,Gandi Maisamma,500043,468/3,16520,Industrial,3729,61603080,9559,157914680,9948,164340960,Female,Yes,0,Not Graduate,Yes,41625,48256,89881,1.0,Semiurban,113201622,360,0.7168530626791632,10.133908761143504,48,1
Telangana,Rangareddy,Puppalguda,500090,140/4,3508,Residential,2696,9457568,7959,27920172,7642,26808136,Female,Yes,1,Not Graduate,No,13842,24606,38448,1.0,Semiurban,11729481,180,0.42010776294644603,3.0942625436591014,36,1
Telangana,Hyderabad,Jubilee Hills,500033,197/4,22497,Industrial,6249,140583753,22885,514843845,22223,499950831,Male,Yes,0,Not Graduate,No,42443,0,42443,1.0,Semiurban,451554564,240,0.8770709184646075,95.72258363296821,55,0
Maharashtra,Pune,Wakad,411057,114/4,8834,Commercial,4300,37986200,13235,116917990,13238,116944492,Female,Yes,1,Graduate,No,58051,10486,68537,1.0,Rural,43602894,360,0.37293571331494835,5.11896853913155,34,0
Telangana,Rangareddy,Rajendranagar,500030,77/3,78202,Agricultural,1179,92200158,3720,290911440,3818,298575236,Female,Yes,3,Graduate,No,16444,30126,46570,1.0,Rural,174705672,240,0.6005458980918729,33.752894080448,54,0
Tamil Nadu,Coimbatore,Peelamedu,641004,382/4,1171,Residential,1954,2288134,5123,5999033,4978,5829238,Female,Yes,2,Not Graduate,Yes,43398,25598,68996,1.0,Rural,4318239,300,0.7198225113947532,0.5252261676193047,43,1
Tamil Nadu,Coimbatore,Saravanampatti,641035,193/2,11707,Commercial,3324,38914068,7246,84828922,7316,85648412,Male,Yes,0,Not Graduate,No,44706,14646,59352,1.0,Semiurban,70847782,180,0.8351842783054582,12.107180523752952,53,0
Telangana,Medchal-Malkajgiri,Malkajgiri,500047,480/2,7431,Residential,2305,17128455,6204,46101924,6572,48836532,Male,Yes,0,Not Graduate,Yes,41745,0,41745,1.0,Semiurban,30005154,120,0.6508438563214846,9.10510504119146,46,1
Maharashtra,Mumbai Suburban,Ghatkopar,400086,164/10,41051,Agricultural,3009,123522459,12188,500329588,11896,488342696,Male,Yes,3,Not Graduate,Yes,43297,14348,57645,0.0,Rural,368429020,360,0.7363726408281095,51.42619866958126,98,0
Tamil Nadu,Coimbatore,Gandhipuram,641012,154/7,13360,Commercial,3034,40534240,6896,92130560,6934,92638240,Female,Yes,3,Not Graduate,Yes,111242,0,111242,1.0,Semiurban,32374290,300,0.3513957800755797,2.4422777766724635,34,0
Karnataka,Dharwad,Sattur,580009,27/5,49149,Industrial,1361,66891789,2277,111912273,2287,112403763,Male,No,1,Not Graduate,No,48257,10777,59034,1.0,Rural,103558067,120,0.9253504037041586,22.22159817275657,57,0
Tamil Nadu,Chennai,Guindy,600032,361/4,20684,Industrial,5027,103978468,19849,410556716,19664,406730176,Female,No,3,Not Graduate,Yes,53848,12273,66121,1.0,Urban,208625066,180,0.5081516337927839,32.002152578204516,40,1
Tamil Nadu,Chennai,Guindy,600032,443/4,1265,Commercial,6265,7925225,25855,32706575,25478,32229670,Female,Yes,3,Graduate,No,58235,44141,102376,0.0,Urban,26040465,300,0.7961844063464304,2.1345885300617686,91,0
Tamil Nadu,Coimbatore,Gandhipuram,641012,376/6,3293,Commercial,3198,10531014,7870,25915910,8158,26864294,Male,Yes,0,Graduate,Yes,22194,39262,61456,0.0,Semiurban,19687285,120,0.7596601855771223,4.058028606509808,90,0
Tamil Nadu,Coimbatore,Peelamedu,641004,317/10,48206,Industrial,2191,105619346,4590,221265540,4385,211383310,Female,No,0,Not Graduate,Yes,46521,0,46521,1.0,Semiurban,93983829,360,0.4247558340987033,16.255350151645676,36,1
Maharashtra,Pune,Kothrud,411038,41/6,35080,Industrial,3588,125867040,11809,414259720,11947,419100760,Male,Yes,3,Not Graduate,No,59470,68739,128209,1.0,Semiurban,170426168,300,0.4113993221450543,11.15530270525631,36,0
Maharashtra,Nagpur,Dharampeth,440010,459/9,2682,Residential,1370,3674340,3172,8507304,3197,8574354,Male,No,0,Graduate,No,31343,0,31343,1.0,Semiurban,7090403,300,0.8334488811026384,1.8984272131913256,53,0
Maharashtra,Mumbai Suburban,Ghatkopar,400086,124/10,49370,Industrial,9846,486097020,42479,2097188230,42364,2091510680,Male,No,0,Graduate,No,23103,0,23103,1.0,Urban,1465960581,360,0.6990124014762376,510.5592516219158,47,1
Maharashtra,Mumbai Suburban,Borivali,400092,402/8,19951,Industrial,8419,167967469,43506,867988206,44322,884268222,Male,No,1,Graduate,Yes,21296,0,21296,1.0,Urban,347438300,300,0.40027997799776555,136.9125459933655,36,1
Karnataka,Bengaluru Urban,Whitefield,560066,483/5,28587,Industrial,4151,118664637,11839,338441493,11453,327406911,Female,Yes,0,Graduate,No,22259,21030,43289,1.0,Urban,291539193,120,0.8614168151066512,85.31255712028029,54,0
Tamil Nadu,Chennai,Guindy,600032,464/4,12228,Commercial,6508,79579824,21056,257472768,20455,250123740,Female,No,3,Not Graduate,No,44564,26004,70568,1.0,Semiurban,197889615,300,0.7685846411531957,23.5330809019809,50,0
Telangana,Medchal-Malkajgiri,Kompally,500014,70/5,4041,Residential,2089,8441649,5632,22758912,5618,22702338,Male,No,2,Graduate,No,59653,0,59653,0.0,Rural,11139151,300,0.4894412790910216,1.567051952656096,79,0
Telangana,Medchal-Malkajgiri,Alwal,500010,144/7,24927,Agricultural,994,24777438,2345,58453815,2368,59027136,Male,No,1,Not Graduate,No,36599,52686,89285,1.0,Rural,49747829,300,0.8510621419662686,4.675835492583068,64,0
Telangana,Rangareddy,Kokapet,500089,124/5,12718,Commercial,4396,55908328,12646,160831828,12761,162294398,Female,Yes,2,Graduate,Yes,30983,112656,143639,1.0,Semiurban,115887357,120,0.7205498963799628,10.220149552591089,48,0
Tamil Nadu,Coimbatore,Saravanampatti,641035,55/1,2919,Residential,1833,5350527,4871,14218449,4935,14405265,Female,No,3,Graduate,No,52859,13170,66029,1.0,Semiurban,12773227,120,0.898355861458588,2.450526910164579,55,1
Telangana,Medchal-Malkajgiri,Medchal,501401,176/8,9537,Commercial,3283,31309971,8473,80807001,8553,81569961,Female,Yes,0,Graduate,No,19100,29421,48521,1.0,Semiurban,75921030,180,0.9395353009079003,15.870275502183407,57,0
Telangana,Medchal-Malkajgiri,Medipally,500098,219/8,14070,Commercial,3205,45094350,7523,105848610,7423,104441610,Male,No,3,Not Graduate,Yes,31758,33806,65564,1.0,Rural,87396483,120,0.8256743569896666,16.88581707503427,53,0
